by	RT	word	font_color	response	was_correct
text	2.6775121688842773	Color.blue	Color.blue	Color.blue	True
text	0.7170405387878418	Color.blue	Color.green	Color.blue	True
text	0.7416715621948242	Color.green	Color.red	Color.green	True
text	0.6056351661682129	Color.green	Color.green	Color.green	True
text	0.749891996383667	Color.red	Color.green	Color.red	True
text	0.4929497241973877	Color.red	Color.blue	Color.red	True
text	0.7501580715179443	Color.blue	Color.blue	Color.blue	True
text	0.7501089572906494	Color.red	Color.green	Color.red	True
text	0.6290602684020996	Color.green	Color.blue	Color.green	True
text	0.6309058666229248	Color.blue	Color.blue	Color.blue	True
font	0.9983153343200684	Color.red	Color.green	Color.green	True
font	0.5576345920562744	Color.red	Color.red	Color.red	True
font	0.6212196350097656	Color.green	Color.green	Color.green	True
font	0.6773357391357422	Color.blue	Color.red	Color.red	True
font	0.5583827495574951	Color.red	Color.red	Color.red	True
font	0.5260369777679443	Color.blue	Color.red	Color.red	True
font	0.7971498966217041	Color.red	Color.blue	Color.blue	True
font	0.7748820781707764	Color.red	Color.red	Color.red	True
font	0.46243906021118164	Color.red	Color.blue	Color.blue	True
font	0.7428209781646729	Color.blue	Color.red	Color.red	True
